text,label
"Olá, poderiam informar o status do protocolo 12345? Obrigado.","Produtivo"
"Seguem anexos os documentos solicitados para análise.","Produtivo"
"Estou com erro ao acessar o sistema desde ontem, podem verificar?","Produtivo"
"Segue comprovante de pagamento referente ao pedido 9876.","Produtivo"
"Bom dia! Tudo certo por aí?","Improdutivo"
"Muito obrigado pelo suporte, era só isso mesmo.","Improdutivo"
"Feliz Natal e próspero Ano Novo a todos!","Improdutivo"
"Perfeito, valeu!","Improdutivo"
"Gostaria de solicitar a segunda via do meu boleto com vencimento para hoje.","Produtivo"
"Qual a taxa de juros para o financiamento de veículo?","Produtivo"
"Não estou conseguindo acessar meu extrato pelo aplicativo.","Produtivo"
"Recebi uma notificação de compra que não reconheço. Podem verificar?","Produtivo"
"Ok, recebido.","Improdutivo"
"Estarei de férias a partir de amanhã, retornando em 15 dias.","Improdutivo"
"Vamos almoçar juntos hoje?","Improdutivo"
"Hahahaha, muito bom!","Improdutivo"
"Preciso atualizar meu endereço cadastral. Como proceder?","Produtivo"
"Gostaria de mais informações sobre o fundo de investimento multimercado.","Produtivo"
"Houve uma cobrança duplicada na minha fatura deste mês.","Produtivo"
"Onde encontro o informe de rendimentos para a declaração do Imposto de Renda?","Produtivo"
"Entendido, obrigado pelo esclarecimento.","Improdutivo"
"Parabéns pelo aniversário! Muitas felicidades.","Improdutivo"
"CONFIRA AS OFERTAS IMPERDÍVEIS DESTA SEMANA!","Improdutivo"
"Você viu o jogo ontem?","Improdutivo"
"Como faço para cancelar meu cartão de crédito adicional?","Produtivo"
"Enviei a documentação para abertura de conta. Qual o próximo passo?","Produtivo"
"O sistema de home broker está instável hoje.","Produtivo"
"Solicito o resgate total da minha aplicação em CDB.","Produtivo"
"Obrigado!","Improdutivo"
"Até logo.","Improdutivo"
"Estou fora do escritório com acesso limitado a emails.","Improdutivo"
"Copiado.","Improdutivo"
"Qual o prazo para a análise da minha proposta de crédito?","Produtivo"
"Não recebi o token de validação por SMS.","Produtivo"
"Meu cartão foi bloqueado. Como faço para desbloquear?","Produtivo"
"Poderiam confirmar o recebimento dos documentos que enviei ontem?","Produtivo"
"Grato pela atenção.","Improdutivo"
"Sem problemas.","Improdutivo"
"Poderia me ligar quando puder?","Improdutivo"
"Resposta automática: Fora do escritório.","Improdutivo"
"Gostaria de fazer a portabilidade do meu salário para a conta de vocês.","Produtivo"
"Qual o limite de transferência via TED?","Produtivo"
"Preciso do contato do gerente da minha conta.","Produtivo"
"Onde posso encontrar o contrato do meu financiamento?","Produtivo"
"Combinado!","Improdutivo"
"Ciência.","Improdutivo"
"Vaga de estacionamento liberada no G2.","Improdutivo"
"Nos falamos depois.","Improdutivo"
"Recebi um email suspeito em nome de vocês. É phishing?","Produtivo"
"Como alterar a senha do meu aplicativo?","Produtivo"
"Quero renegociar a dívida do meu cartão. Quais as opções?","Produtivo"
"Houve um estorno na minha conta que não foi creditado.","Produtivo"
"Valeu pela ajuda!","Improdutivo"
"Boa semana!","Improdutivo"
"Você recebeu meu email anterior?","Improdutivo"
"Fico no aguardo.","Improdutivo"
"Preciso de uma carta de referência bancária.","Produtivo"
"O PIX agendado para hoje não foi efetuado. O que aconteceu?","Produtivo"
"Gostaria de contratar um seguro de vida.","Produtivo"
"Quais documentos são necessários para declarar meus investimentos?","Produtivo"
"OK.","Improdutivo"
"Abraços.","Improdutivo"
"[URGENTE] PROMOÇÃO IMPERDÍVEL SÓ HOJE","Improdutivo"
"Me avise quando terminar.","Improdutivo"
"Como funciona o consórcio de imóveis?","Produtivo"
"Meu token físico não está funcionando.","Produtivo"
"Solicito o encerramento da minha conta corrente.","Produtivo"
"Gostaria de aumentar o limite do meu cartão de crédito.","Produtivo"
"Excelente!","Improdutivo"
"Perfeito, obrigado.","Improdutivo"
"Feliz Páscoa!","Improdutivo"
"Aprovado.","Improdutivo"
"Quero saber o saldo devedor do meu empréstimo consignado.","Produtivo"
"Como posso investir no Tesouro Direto através de vocês?","Produtivo"
"O caixa eletrônico mais próximo da minha casa não está funcionando.","Produtivo"
"A transferência que fiz ontem ainda não caiu na conta de destino.","Produtivo"
"De acordo.","Improdutivo"
"Bom trabalho!","Improdutivo"
"Lembrete: Reunião de equipe às 15h.","Improdutivo"
"Vi sua mensagem.","Improdutivo"
"Qual o procedimento para declarar BDRs no Imposto de Renda?","Produtivo"
"Estou tentando gerar um cartão virtual e o app está dando erro.","Produtivo"
"Preciso do comprovante de uma transferência feita na semana passada.","Produtivo"
